MARCA,MODELO,TRANSMISSAO,TP_COMBUSTIVEL,MOTO_SIZE,ANO,QUILOMETRAGEM,PRECO
TOYOTA, GT86,Manual,Gasolina,2,2016,24089,16000000
TOYOTA, GT86,Manual,Gasolina,2,2017,18615,15995000
TOYOTA, GT86,Manual,Gasolina,2,2015,27469,13998000
TOYOTA, GT86,Manual,Gasolina,2,2017,14736,18998000
TOYOTA, GT86,Manual,Gasolina,2,2017,36284,17498000
TOYOTA, GT86,Manual,Gasolina,2,2017,26919,15998000
TOYOTA, GT86,Manual,Gasolina,2,2017,10456,18522000
TOYOTA, GT86,Manual,Gasolina,2,2017,12340,18995000
TOYOTA, GT86,Manual,Gasolina,2,2020,516,27998000
TOYOTA, GT86,Manual,Gasolina,2,2016,37999,13990000
TOYOTA, GT86,Manual,Gasolina,2,2013,72000,10495000
TOYOTA, GT86,Manual,Gasolina,2,2017,12597,17990000
TOYOTA, GT86,Manual,Gasolina,2,2017,36100,16995000
TOYOTA, GT86,Manual,Gasolina,2,2019,995,23995000
TOYOTA, GT86,Manual,Gasolina,2,2018,35228,18498000
TOYOTA, GT86,Manual,Gasolina,2,2019,1751,23980000
TOYOTA, GT86,Manual,Gasolina,2,2017,16444,17995000
TOYOTA, GT86,Manual,Gasolina,2,2014,25499,12998000
TOYOTA, GT86,Automático,Gasolina,2,2019,3934,23495000
TOYOTA, GT86,Manual,Gasolina,2,2019,5123,25780000
TOYOTA, GT86,Semi-Auto,Gasolina,2,2020,1500,26995000
TOYOTA, GT86,Semi-Auto,Gasolina,2,2019,913,23998000
TOYOTA, GT86,Manual,Gasolina,2,2019,2680,26995000
TOYOTA, GT86,Manual,Gasolina,2,2017,14345,17000000
TOYOTA, GT86,Manual,Gasolina,2,2018,15525,19995000
TOYOTA, GT86,Manual,Gasolina,2,2020,3000,31000000
TOYOTA, GT86,Semi-Auto,Gasolina,2,2016,19460,15995000
TOYOTA, GT86,Manual,Gasolina,2,2018,31231,18490000
TOYOTA, GT86,Manual,Gasolina,2,2020,339,24990000
TOYOTA, GT86,Manual,Gasolina,2,2015,30500,13981000
TOYOTA, GT86,Manual,Gasolina,2,2015,38126,13991000
TOYOTA, GT86,Automático,Gasolina,2,2019,3348,27060000
TOYOTA, GT86,Manual,Gasolina,2,2018,5260,20695000
TOYOTA, GT86,Manual,Gasolina,2,2019,100,25999000
TOYOTA, GT86,Manual,Gasolina,2,2013,50584,11575000
TOYOTA, GT86,Manual,Gasolina,2,2017,6445,20995000
TOYOTA, GT86,Manual,Gasolina,2,2014,18389,14999000
TOYOTA, GT86,Semi-Auto,Gasolina,2,2019,100,27000000
TOYOTA, GT86,Manual,Gasolina,2,2016,28321,15000000
TOYOTA, GT86,Semi-Auto,Gasolina,2,2019,16241,22200000
TOYOTA, GT86,Manual,Gasolina,2,2019,3150,24990000
TOYOTA, GT86,Manual,Gasolina,2,2019,8912,25995000
TOYOTA, GT86,Manual,Gasolina,2,2017,9639,19500000
TOYOTA, GT86,Manual,Gasolina,2,2017,20219,18250000
TOYOTA, GT86,Manual,Gasolina,2,2019,1557,23995000
TOYOTA, GT86,Manual,Gasolina,2,2016,14000,17500000
TOYOTA, GT86,Manual,Gasolina,2,2019,4500,23997000
TOYOTA, GT86,Manual,Gasolina,2,2017,21000,17102000
TOYOTA, GT86,Manual,Gasolina,2,2019,2488,24995000
TOYOTA, GT86,Manual,Gasolina,2,2017,26000,19995000
TOYOTA, GT86,Manual,Gasolina,2,2020,999,29769000
TOYOTA, GT86,Manual,Gasolina,2,2019,4442,25850000
TOYOTA, GT86,Manual,Gasolina,2,2014,24667,13495000
TOYOTA, GT86,Semi-Auto,Gasolina,2,2017,13930,18495000
TOYOTA, GT86,Manual,Gasolina,2,2020,614,25499000
TOYOTA, GT86,Manual,Gasolina,2,2017,18544,18621000
TOYOTA, GT86,Manual,Gasolina,2,2019,7056,25121000
TOYOTA, GT86,Manual,Gasolina,2,2017,11898,17500000
TOYOTA, GT86,Automático,Gasolina,2,2013,28335,11599000
TOYOTA, GT86,Manual,Gasolina,2,2017,10089,17249000
TOYOTA, GT86,Manual,Gasolina,2,2020,3250,25995000
TOYOTA, GT86,Manual,Gasolina,2,2014,39761,13000000
TOYOTA, GT86,Manual,Gasolina,2,2017,19420,17250000
TOYOTA, GT86,Manual,Gasolina,2,2019,489,27950000
TOYOTA, GT86,Manual,Gasolina,2,2020,1055,27995000
TOYOTA, GT86,Manual,Gasolina,2,2016,19987,13999000
TOYOTA, GT86,Automático,Gasolina,2,2012,74599,9995000
TOYOTA, GT86,Automático,Gasolina,2,2015,81206,10499000
TOYOTA, GT86,Manual,Gasolina,2,2012,53000,11995000
TOYOTA, GT86,Manual,Gasolina,2,2015,49000,13495000
TOYOTA, GT86,Automático,Gasolina,2,2019,4000,24990000
TOYOTA, GT86,Manual,Gasolina,2,2017,6725,19500000
TOYOTA, GT86,Manual,Gasolina,2,2020,650,28000000
TOYOTA, Corolla,Automático,Other,1.8,2019,8006,22500000
TOYOTA, Corolla,Manual,Gasolina,1.8,2005,129000,1300000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,7445,20250000
TOYOTA, Corolla,Automático,Gasolina,2,2020,5000,26980000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,8789,21995000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,2193,18995000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,9798,22498000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,8442,20998000
TOYOTA, Corolla,Automático,Gasolina,2,2019,3650,27990000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,7666,22520000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,6346,17440000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,9000,22990000
TOYOTA, Corolla,Automático,Gasolina,2,2019,3196,25570000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,1992,19998000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,9500,23990000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,12158,19995000
TOYOTA, Corolla,Automático,Gasolina,2,2019,5500,24995000
TOYOTA, Corolla,Automático,Gasolina,2,2019,1350,24995000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,5000,23440000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,9278,21990000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,5000,20990000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,10500,19990000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,9100,21995000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,9304,22070000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,9500,22490000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,3500,15990000
TOYOTA, Corolla,Automático,Gasolina,2,2019,9023,21998000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,9684,22075000
TOYOTA, Corolla,Automático,Gasolina,2,2020,2000,28990000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,6503,16995000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,5087,18498000
TOYOTA, Corolla,Automático,Gasolina,2,2019,1751,25995000
TOYOTA, Corolla,Automático,Gasolina,2,2019,6195,24998000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,4720,23500000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,2839,21750000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,11408,21000000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,6788,23000000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,2430,25000000
TOYOTA, Corolla,Automático,Gasolina,2,2019,3579,23000000
TOYOTA, Corolla,Automático,Gasolina,2,2019,6415,24000000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,9493,22500000
TOYOTA, Corolla,Automático,Gasolina,2,2019,5830,22790000
TOYOTA, Corolla,Automático,Gasolina,2,2019,9781,22790000
TOYOTA, Corolla,Automático,Gasolina,2,2019,8950,21490000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,12000,17250000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,7016,15998000
TOYOTA, Corolla,Automático,Gasolina,2,2019,13872,20498000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,2336,15990000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,3892,20488000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,4886,20288000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,9770,17995000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,8599,16490000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,5346,15990000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,3250,18290000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,4290,19998000
TOYOTA, Corolla,Automático,Gasolina,2,2019,3497,23888000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,6449,15990000
TOYOTA, Corolla,Automático,Gasolina,2,2020,998,27495000
TOYOTA, Corolla,Automático,Gasolina,2,2019,3988,23448000
TOYOTA, Corolla,Automático,Gasolina,2,2019,5268,22990000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,1110,18295000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,1436,18995000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,9296,21490000
TOYOTA, Corolla,Automático,Gasolina,2,2019,8322,22790000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,9000,17490000
TOYOTA, Corolla,Automático,Gasolina,2,2019,8000,24388000
TOYOTA, Corolla,Automático,Gasolina,2,2020,10000,25988000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,8328,16490000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,10836,21790000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,4890,16490000
TOYOTA, Corolla,Automático,Gasolina,2,2019,5651,24790000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,9735,21490000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,8514,18495000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,4774,18495000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,7500,24995000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,3000,16995000
TOYOTA, Corolla,Automático,Gasolina,2,2019,12501,22790000
TOYOTA, Corolla,Automático,Gasolina,2,2020,6124,25990000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,10124,21490000
TOYOTA, Corolla,Automático,Gasolina,2,2019,9107,21490000
TOYOTA, Corolla,Automático,Gasolina,2,2019,2535,23698000
TOYOTA, Corolla,Automático,Gasolina,1.8,2020,2797,22990000
TOYOTA, Corolla,Automático,Gasolina,2,2020,1879,26490000
TOYOTA, Corolla,Automático,Gasolina,1.8,2020,1697,25490000
TOYOTA, Corolla,Automático,Gasolina,2,2019,13410,22990000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,4332,19990000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,8503,20990000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,3695,17890000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,2579,18995000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,6057,17990000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,2907,18690000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,7134,16990000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,25,16990000
TOYOTA, Corolla,Automático,Gasolina,2,2019,4451,22727000
TOYOTA, Corolla,Automático,Gasolina,2,2019,5668,20995000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,5250,20995000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,4633,22290000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,9625,16490000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,5804,19790000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,10000,15790000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,9999,17480000
TOYOTA, Corolla,Automático,Gasolina,1.8,2020,5000,24980000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,3860,18990000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,9004,21495000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,4500,17960000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,4500,17960000
TOYOTA, Corolla,Automático,Gasolina,2,2019,5784,23995000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,6551,17995000
TOYOTA, Corolla,Automático,Gasolina,2,2019,6770,24795000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,500,18995000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,500,19995000
TOYOTA, Corolla,Automático,Gasolina,2,2019,10500,22595000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,1215,25595000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,5558,23445000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,6125,23395000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,2620,23445000
TOYOTA, Corolla,Automático,Gasolina,2,2019,2474,24998000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,6513,23498000
TOYOTA, Corolla,Automático,Gasolina,2,2019,6989,23995000
TOYOTA, Corolla,Automático,Gasolina,2,2019,11000,22995000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,3754,22995000
TOYOTA, Corolla,Automático,Gasolina,2,2020,987,28815000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,11293,19995000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,5674,19995000
TOYOTA, Corolla,Automático,Gasolina,2,2019,9250,23995000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,5600,23495000
TOYOTA, Corolla,Automático,Gasolina,2,2020,2500,27995000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,11449,21000000
TOYOTA, Corolla,Automático,Gasolina,1.8,2020,10,28000000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,3510,17999000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,4412,20497000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,10016,23500000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,11051,21665000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,5102,21280000
TOYOTA, Corolla,Automático,Gasolina,2,2019,2535,24960000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,8970,19540000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,5922,20110000
TOYOTA, Corolla,Automático,Gasolina,2,2019,15631,23060000
TOYOTA, Corolla,Automático,Gasolina,2,2020,3636,26991000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,5910,22900000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,8812,24025000
TOYOTA, Corolla,Automático,Gasolina,2,2019,1000,26495000
TOYOTA, Corolla,Automático,Gasolina,2,2019,1000,27795000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,4113,22999000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,8171,21999000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,3422,19990000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,6522,19900000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,11478,22000000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,10011,19290000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,7777,19995000
TOYOTA, Corolla,Automático,Gasolina,2,2019,14417,23888000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,2034,22495000
TOYOTA, Corolla,Automático,Gasolina,1.8,2020,2141,28495000
TOYOTA, Corolla,Automático,Gasolina,2,2019,3998,25195000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,10420,21495000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,10120,21790000
TOYOTA, Corolla,Automático,Gasolina,1.8,2020,3989,24995000
TOYOTA, Corolla,Automático,Gasolina,1.8,2020,636,22995000
TOYOTA, Corolla,Automático,Gasolina,2,2019,3000,26995000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,9333,21995000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,999,17495000
TOYOTA, Corolla,Automático,Gasolina,2,2019,12000,22050000
TOYOTA, Corolla,Automático,Gasolina,2,2020,1544,28795000
TOYOTA, Corolla,Manual,Gasolina,1.2,2020,7345,20692000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,20657,21495000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,8309,22514000
TOYOTA, Corolla,Automático,Gasolina,2,2020,943,29450000
TOYOTA, Corolla,Automático,Gasolina,2,2020,3168,26950000
TOYOTA, Corolla,Automático,Gasolina,1.8,2020,2136,24995000
TOYOTA, Corolla,Automático,Gasolina,2,2019,6158,23000000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,7963,20689000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,384,19219000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,5000,21991000
TOYOTA, Corolla,Automático,Gasolina,2,2019,3459,22980000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,7317,15291000
TOYOTA, Corolla,Automático,Gasolina,2,2019,9980,22780000
TOYOTA, Corolla,Manual,Gasolina,1.2,2020,4568,19495000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,7000,18991000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,13998,19291000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,9264,23505000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,17197,17865000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,4942,20499000
TOYOTA, Corolla,Automático,Gasolina,2,2020,3390,27893000
TOYOTA, Corolla,Automático,Gasolina,1.8,2019,9264,22226000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,6329,16821000
TOYOTA, Corolla,Automático,Gasolina,2,2020,5000,25998000
TOYOTA, Corolla,Manual,Gasolina,1.6,2003,89000,1495000
TOYOTA, Corolla,Automático,Gasolina,2,2019,6834,20995000
TOYOTA, Corolla,Manual,Gasolina,1.2,2019,151,17989000
TOYOTA, Corolla,Automático,Gasolina,2,2019,6500,26999000
